id,area,square_feet,num_bedrooms,num_bathrooms,year_built,has_garage,price
138,Hinjewadi,2842,1,2,2018,1,6704641
139,Hinjewadi,1135,4,2,2011,1,10777173
140,Kalyani Nagar,2027,1,1,2015,0,8155434
141,Koregaon Park,3318,1,3,1986,1,4016390
142,Kalyani Nagar,863,4,2,1992,1,8088673
143,Viman Nagar,3101,2,2,2006,1,12154814
144,Viman Nagar,2232,1,3,1982,0,3563674
145,Viman Nagar,2460,1,1,1991,1,11362083
146,Viman Nagar,1183,5,2,1988,0,3402031
147,Viman Nagar,2945,3,3,1989,0,2929919
148,Pimpri-Chinchwad,924,4,1,2002,0,6967989
149,Hinjewadi,2951,1,1,1988,1,10581854
150,Viman Nagar,3379,2,2,2023,0,12306327
151,Koregaon Park,3490,3,3,2000,0,14763269
152,Koregaon Park,1247,2,3,1985,0,13865567
153,Koregaon Park,1702,1,1,1998,0,7216968
154,Koregaon Park,1058,2,3,2023,1,3059439
155,Pimpri-Chinchwad,2762,2,2,2003,1,3559093
156,Koregaon Park,3083,3,3,2004,1,3836468
157,Viman Nagar,2636,5,3,2003,1,5539185
158,Kalyani Nagar,961,4,3,1999,1,12814105
159,Koregaon Park,3060,1,2,1982,0,9520743
160,Pimpri-Chinchwad,3275,2,3,1996,1,8485018
161,Pimpri-Chinchwad,1567,1,1,2014,1,12556208
162,Koregaon Park,1225,2,3,2007,1,8529326
163,Kalyani Nagar,2275,5,3,2002,0,13933424
164,Koregaon Park,939,5,1,1993,0,14608929
165,Pimpri-Chinchwad,3410,1,3,1982,1,14428329
166,Hinjewadi,2932,1,2,2005,0,14212060
167,Viman Nagar,2958,1,2,2015,0,6068304
168,Pimpri-Chinchwad,1958,1,1,2016,1,12779939
169,Koregaon Park,914,5,2,2002,0,9106522
170,Viman Nagar,3037,4,3,1996,0,2300271
171,Koregaon Park,2266,2,2,2002,1,8808714
172,Koregaon Park,839,5,3,2022,1,12732020
173,Hinjewadi,909,3,3,2007,1,9673466
174,Viman Nagar,1336,4,2,1996,0,9480288
175,Viman Nagar,1432,1,1,2020,1,6703936
176,Hinjewadi,2597,1,2,2008,1,6125605
177,Pimpri-Chinchwad,2783,1,2,1991,0,11721322
178,Koregaon Park,1355,5,3,1994,0,4001832
179,Kalyani Nagar,2848,1,1,1998,1,9295537
180,Koregaon Park,2416,5,1,2002,1,3338726
181,Koregaon Park,1700,2,1,2020,0,5746867
182,Pimpri-Chinchwad,2251,3,2,2007,0,4283337
183,Koregaon Park,2137,2,3,2006,1,13038835
184,Hinjewadi,1713,1,1,2009,0,7241378
185,Hinjewadi,1986,2,3,1999,0,6979192
186,Viman Nagar,2499,2,3,1992,0,2494222
187,Kalyani Nagar,801,3,2,1998,0,2937991
188,Koregaon Park,2826,4,3,1991,1,13435961
189,Koregaon Park,2101,3,2,1985,1,3831392
190,Pimpri-Chinchwad,1622,1,3,1990,1,5591953
191,Hinjewadi,1742,2,3,2002,0,7780226
192,Kalyani Nagar,2879,3,3,2002,1,2347220
193,Viman Nagar,1921,4,3,1997,0,4657608
194,Hinjewadi,1028,3,3,2014,0,4229392
195,Viman Nagar,1577,5,1,1997,0,7162992
196,Pimpri-Chinchwad,3318,4,2,2003,1,13560257
197,Pimpri-Chinchwad,1170,1,3,1980,0,14604032
198,Koregaon Park,901,3,3,1996,1,11584448
199,Kalyani Nagar,1001,4,3,2001,0,8352999
200,Viman Nagar,3366,3,2,1986,1,12986817
201,Hinjewadi,1615,1,1,2003,1,3405637
202,Pimpri-Chinchwad,3092,5,3,1990,1,7589669
203,Koregaon Park,1388,2,2,2015,0,4047955
204,Koregaon Park,2983,3,2,2006,0,9146370
205,Viman Nagar,1270,3,1,1998,0,6611290
206,Pimpri-Chinchwad,1923,3,3,1997,0,7217165
207,Kalyani Nagar,2854,2,2,1982,0,2545615
208,Pimpri-Chinchwad,1577,5,2,1985,0,7664135
209,Viman Nagar,1195,3,3,2016,1,5925466
210,Viman Nagar,1278,5,3,1982,0,8474298
211,Pimpri-Chinchwad,1732,5,2,1990,1,9329762
212,Viman Nagar,953,1,1,2013,0,6283957
213,Pimpri-Chinchwad,804,4,3,1996,1,14483150
214,Hinjewadi,2510,3,1,2023,0,3644721
215,Pimpri-Chinchwad,1574,3,3,1986,0,2977865
216,Pimpri-Chinchwad,2115,5,1,2014,1,4528025
217,Viman Nagar,2246,4,3,2008,0,11697680
218,Viman Nagar,1053,3,3,2013,0,12730815
219,Koregaon Park,3203,2,3,2023,1,12684329
220,Koregaon Park,1888,3,2,2003,0,8931826
221,Hinjewadi,2849,5,2,2004,1,4901576
222,Koregaon Park,1378,1,2,1988,0,3524974
223,Pimpri-Chinchwad,902,1,3,1989,1,14854077
224,Viman Nagar,2093,3,1,1981,0,4939009
225,Koregaon Park,2842,2,1,2010,0,7047552
226,Koregaon Park,3096,3,2,1981,1,5360067
227,Hinjewadi,1144,2,1,1993,1,5608323
228,Hinjewadi,2820,1,1,2008,0,12663767
229,Pimpri-Chinchwad,3054,1,3,1983,0,3280906
230,Viman Nagar,2319,2,1,2010,1,6444029
231,Hinjewadi,1352,4,2,2008,0,12488796
232,Koregaon Park,2535,5,3,2006,0,11495755
233,Viman Nagar,1049,2,2,2013,1,8569142
234,Viman Nagar,3157,4,1,2016,1,10487614
235,Koregaon Park,2460,4,2,1999,0,3105239
236,Hinjewadi,2953,3,3,2016,1,5894303
237,Koregaon Park,2225,2,1,2002,1,10015758
238,Viman Nagar,3377,4,1,2021,1,6152245
239,Kalyani Nagar,2994,5,2,1989,1,6147970
240,Kalyani Nagar,1476,1,3,1999,0,2844437
241,Pimpri-Chinchwad,3328,3,2,1999,1,3719957
242,Koregaon Park,895,2,3,1991,1,12670856
243,Koregaon Park,888,2,1,2011,1,10171868
244,Pimpri-Chinchwad,1014,3,3,1993,1,8296091
245,Pimpri-Chinchwad,2996,5,3,2014,1,12868211
246,Pimpri-Chinchwad,3018,1,1,1990,1,11691143
247,Viman Nagar,2178,4,3,1999,0,5039148
248,Koregaon Park,1598,4,3,2011,0,4493385
249,Viman Nagar,2668,4,2,1991,0,3574372
250,Pimpri-Chinchwad,1033,3,2,2001,1,14256405
251,Koregaon Park,937,1,2,1990,0,8748209
252,Viman Nagar,1359,3,1,2017,1,3236796
253,Viman Nagar,3102,2,3,1998,1,13685130
254,Pimpri-Chinchwad,2655,4,1,1990,1,12820386
255,Koregaon Park,2190,2,2,2005,1,6107992
256,Pimpri-Chinchwad,2503,5,1,1995,0,13451144
257,Koregaon Park,1899,4,2,1983,0,2058785
258,Kalyani Nagar,1548,2,1,1984,0,14071552
259,Hinjewadi,1243,3,1,2022,1,10432094
260,Hinjewadi,2632,2,3,1996,0,2765599
261,Hinjewadi,2297,4,2,1997,0,8183759
262,Pimpri-Chinchwad,970,3,2,1985,1,12432203
263,Kalyani Nagar,2655,3,1,1996,0,2896215
264,Koregaon Park,2815,2,2,1983,0,10733545
265,Viman Nagar,2876,5,1,2019,0,6774382
266,Koregaon Park,1301,2,1,2008,0,12796514
267,Viman Nagar,3005,4,1,1991,1,7830373
268,Koregaon Park,1340,5,1,2021,0,12085830
269,Kalyani Nagar,1274,5,1,2009,1,2356855
270,Viman Nagar,1006,3,3,1991,0,12205456
271,Pimpri-Chinchwad,2307,2,3,1993,0,10797712
272,Koregaon Park,1147,2,3,2017,0,2874037
273,Koregaon Park,2287,1,2,1991,0,13598114
274,Viman Nagar,2270,1,2,2012,1,12170502
275,Pimpri-Chinchwad,1707,4,3,2022,1,7779748
276,Pimpri-Chinchwad,2744,2,3,2004,1,8938200
277,Kalyani Nagar,1959,2,2,2013,0,9116429
278,Pimpri-Chinchwad,2591,1,3,1994,1,9157598
279,Pimpri-Chinchwad,3223,5,2,1990,0,7592543
280,Pimpri-Chinchwad,3344,5,1,2018,0,7009252
281,Hinjewadi,1151,3,3,2013,0,11272875
282,Kalyani Nagar,2935,3,3,2022,1,3739784
283,Koregaon Park,3236,4,1,2007,0,9446306
284,Viman Nagar,1970,2,3,1998,0,7730907
285,Koregaon Park,2928,4,1,2021,0,5604489
286,Kalyani Nagar,1979,2,2,2020,1,9659795
287,Viman Nagar,2103,3,2,1987,1,9081882
288,Kalyani Nagar,3051,2,3,2006,1,14356491
289,Pimpri-Chinchwad,2622,4,2,2011,1,2639231
290,Viman Nagar,1766,3,1,2002,0,12073539
291,Pimpri-Chinchwad,2722,3,3,2002,0,5789202
292,Koregaon Park,3051,5,3,1991,0,8030372
293,Koregaon Park,1273,3,2,1994,0,5812780
294,Viman Nagar,1543,4,1,1994,0,2756734
295,Viman Nagar,2594,2,1,2002,0,7282156
296,Kalyani Nagar,2766,5,1,1984,0,14415794
297,Kalyani Nagar,2196,4,3,2004,0,12189342
298,Pimpri-Chinchwad,965,2,3,2023,1,14651071
299,Viman Nagar,1596,1,1,2017,1,7740686
300,Koregaon Park,2055,1,2,1981,1,4183439
301,Kalyani Nagar,2955,5,2,1986,1,11033369
302,Kalyani Nagar,2636,5,3,2006,1,2418330
303,Koregaon Park,1232,3,3,1996,1,10231584
304,Kalyani Nagar,1020,4,2,1987,1,10562763
305,Pimpri-Chinchwad,1306,2,2,2009,0,2266619
306,Viman Nagar,1788,1,3,1988,0,6647361
307,Koregaon Park,2553,1,3,1980,0,10832566
308,Viman Nagar,1157,5,1,1993,1,14540103
309,Kalyani Nagar,3385,4,3,1990,0,12003981
310,Kalyani Nagar,1545,5,1,2011,0,9470418
311,Koregaon Park,1414,4,2,2016,0,2097962
312,Pimpri-Chinchwad,923,1,2,2007,0,9284345
313,Hinjewadi,2107,4,1,2005,1,8351270
314,Koregaon Park,949,5,1,1985,0,2568841
315,Hinjewadi,3231,3,2,1981,1,12184896
316,Hinjewadi,1723,4,2,1980,0,3271947
317,Pimpri-Chinchwad,1259,3,1,2021,0,11738681
318,Hinjewadi,2226,1,3,1986,1,10148938
319,Hinjewadi,1907,3,2,2012,0,12654457
320,Pimpri-Chinchwad,1413,4,1,2021,0,5125916
321,Hinjewadi,1265,5,1,2008,0,4844262
322,Hinjewadi,3236,5,1,2003,1,5481252
323,Hinjewadi,2151,2,1,1985,0,6831340
324,Koregaon Park,1354,1,1,1986,0,9492322
325,Koregaon Park,2542,5,1,1983,0,5402529
326,Koregaon Park,2948,5,3,1996,1,12922944
327,Pimpri-Chinchwad,2477,1,1,2005,0,9860511
328,Kalyani Nagar,1339,5,3,2018,1,8349251
329,Hinjewadi,2409,4,1,1996,1,13834659
330,Hinjewadi,805,2,2,2005,1,14355887
331,Pimpri-Chinchwad,2590,1,3,2009,1,8151171
332,Hinjewadi,3379,3,2,1993,0,4234764
333,Koregaon Park,2403,5,2,2008,0,10031760
334,Kalyani Nagar,1677,4,1,2012,1,5406312
335,Viman Nagar,2786,2,1,2018,0,9037896
336,Hinjewadi,2366,5,1,2008,1,11615515
337,Koregaon Park,2291,3,3,1986,1,9867534
338,Viman Nagar,2731,1,2,1995,1,11752912
339,Kalyani Nagar,1359,1,2,2019,0,8701495
340,Viman Nagar,1544,4,3,1991,0,4668880
341,Koregaon Park,2964,4,3,2010,1,7406156
342,Viman Nagar,3480,3,2,1982,1,6187962
343,Pimpri-Chinchwad,2536,2,3,1987,0,8191782
344,Viman Nagar,1512,2,2,2000,1,6434497
345,Hinjewadi,838,1,1,2021,1,12113304
346,Hinjewadi,1781,1,3,2003,0,2413142
347,Pimpri-Chinchwad,3018,4,1,2002,1,2937010
348,Koregaon Park,1808,5,1,1991,1,5445275
349,Hinjewadi,2541,5,2,2006,1,3286152
350,Kalyani Nagar,2423,3,1,1995,0,14173569
351,Hinjewadi,1552,2,1,2006,0,11223037
352,Hinjewadi,2280,1,2,2010,1,10377476
353,Koregaon Park,945,1,2,1997,0,3008572
354,Viman Nagar,2088,1,2,1986,1,10956766
355,Hinjewadi,2072,5,3,1991,0,8476566
356,Pimpri-Chinchwad,2348,3,2,2022,1,10811209
357,Viman Nagar,1921,3,1,1995,0,13621590
358,Kalyani Nagar,3235,1,3,2016,0,8123212
359,Koregaon Park,1354,2,1,2014,1,4269102
360,Kalyani Nagar,2558,4,1,2007,0,14079429
361,Viman Nagar,1982,5,2,1982,0,11678421
362,Viman Nagar,1848,2,3,2017,1,7421294
363,Viman Nagar,1015,4,3,2010,1,9025826
364,Kalyani Nagar,1899,1,1,1981,1,9260694
365,Viman Nagar,2676,4,2,1981,1,7990486
366,Kalyani Nagar,2785,1,2,2022,1,11076288
367,Viman Nagar,2349,5,3,1986,1,9072210
368,Pimpri-Chinchwad,2707,2,1,1990,1,5120396
369,Viman Nagar,1512,1,1,1988,0,11351364
370,Kalyani Nagar,1891,3,1,1981,0,6574327
371,Hinjewadi,868,3,1,1986,1,11494289
372,Viman Nagar,1680,3,3,2002,0,10091935
373,Hinjewadi,3372,5,1,2022,0,8430447
374,Pimpri-Chinchwad,1908,3,3,2008,1,6256617
375,Koregaon Park,3117,5,2,1981,1,9893553
376,Pimpri-Chinchwad,1960,4,1,1984,1,4958522
377,Viman Nagar,1545,3,3,1983,0,13458456
378,Hinjewadi,1099,2,3,2022,1,5188149
379,Hinjewadi,1338,3,1,1988,1,10040208
380,Kalyani Nagar,1992,1,2,2018,0,13568019
381,Hinjewadi,2173,2,1,2022,1,10985750
382,Kalyani Nagar,3403,3,3,2017,1,12323480
383,Koregaon Park,2239,1,2,1989,1,2287791
384,Viman Nagar,1381,5,3,1987,0,6637477
385,Kalyani Nagar,2551,3,3,1983,0,8276808
386,Koregaon Park,2376,5,2,1992,0,12845137
387,Hinjewadi,2835,4,2,1991,1,11888915
388,Hinjewadi,2861,2,2,1998,0,7033174
389,Koregaon Park,2124,5,3,1990,1,11471044
390,Hinjewadi,1977,4,3,1994,0,8413770
391,Koregaon Park,2435,1,1,2009,0,9358256
392,Kalyani Nagar,1476,4,2,1982,1,4012176
393,Kalyani Nagar,1027,3,3,2016,1,2335679
394,Koregaon Park,1745,5,3,1990,0,12296402
395,Kalyani Nagar,3132,3,2,1981,1,6063153
396,Kalyani Nagar,1779,4,2,2004,0,3330603
397,Kalyani Nagar,2697,2,2,2016,1,6007947
398,Pimpri-Chinchwad,2199,2,2,2010,1,10140571
399,Viman Nagar,2055,4,2,1991,0,5042629
400,Hinjewadi,2966,4,1,2015,1,4426603
401,Pimpri-Chinchwad,1064,1,3,2006,1,13686051
402,Kalyani Nagar,3223,4,1,1992,1,2202228
403,Koregaon Park,2292,1,1,2007,0,14649420
404,Kalyani Nagar,1457,3,1,2006,0,4053246
405,Viman Nagar,1747,3,1,1999,0,2522847
406,Kalyani Nagar,2924,1,3,2018,0,5685681
407,Koregaon Park,1194,3,1,2008,0,3861802
408,Viman Nagar,1080,4,2,2001,1,12143586
409,Kalyani Nagar,2552,4,3,2018,1,13854000
410,Viman Nagar,3476,2,1,2003,0,7174912
411,Hinjewadi,1388,5,2,2015,1,4917267
412,Hinjewadi,3413,4,3,1980,1,2714365
413,Kalyani Nagar,2295,1,3,1980,0,6093631
414,Viman Nagar,1468,3,1,2000,0,7829366
415,Koregaon Park,2498,5,2,1985,1,9853779
416,Kalyani Nagar,1363,4,1,1990,0,14836729
417,Hinjewadi,1939,3,3,2000,1,9671982
418,Hinjewadi,3344,1,2,1992,1,11387460
419,Kalyani Nagar,2459,1,3,2021,0,14620179
420,Viman Nagar,1707,4,3,1997,1,7683920
421,Hinjewadi,1804,4,3,2009,0,2799330
422,Viman Nagar,975,1,1,2023,1,5426477
423,Hinjewadi,2834,3,2,2000,1,4723352
424,Hinjewadi,3110,2,1,1991,0,5609918
425,Pimpri-Chinchwad,884,1,3,1998,0,14345208
426,Hinjewadi,3412,1,1,2021,1,9311654
427,Koregaon Park,2160,1,2,2002,1,3215134
428,Kalyani Nagar,2403,4,1,1994,0,4580895
429,Kalyani Nagar,3020,2,1,2008,1,6824201
430,Viman Nagar,1424,4,1,2007,0,12902919
431,Hinjewadi,2791,1,2,2000,1,9405925
432,Koregaon Park,1073,3,3,1996,0,14868580
433,Viman Nagar,2479,4,2,2018,1,7641076
434,Pimpri-Chinchwad,3454,4,2,1981,1,7203068
435,Viman Nagar,1359,4,2,2017,0,2026491
436,Viman Nagar,3080,5,2,2017,0,12778019
437,Hinjewadi,2361,1,2,1981,0,8528722
438,Pimpri-Chinchwad,1769,3,2,2020,0,5273588
439,Viman Nagar,1390,5,2,2004,1,8407708
440,Koregaon Park,1470,5,1,1989,1,7380676
441,Koregaon Park,2247,2,1,1986,0,12465937
442,Kalyani Nagar,3408,1,1,2004,1,10750148
443,Pimpri-Chinchwad,3039,4,3,2008,0,2580249
444,Pimpri-Chinchwad,972,1,2,2015,0,6037653
445,Kalyani Nagar,1057,5,3,2023,0,12550202
446,Viman Nagar,1492,5,1,2022,0,7462994
447,Pimpri-Chinchwad,2542,3,3,2018,0,9697245
448,Koregaon Park,854,1,2,2013,0,14803538
449,Koregaon Park,951,2,1,1994,0,7621226
450,Hinjewadi,2597,5,3,1987,1,3607600
451,Pimpri-Chinchwad,3271,4,1,1997,0,9132407
452,Viman Nagar,3311,1,1,1981,0,7997151
453,Kalyani Nagar,2454,3,1,2009,0,13609397
454,Kalyani Nagar,993,1,3,1980,0,3826715
455,Viman Nagar,3113,4,1,2008,1,3362893
456,Hinjewadi,3100,1,2,1995,0,11455250
457,Kalyani Nagar,1826,5,3,2008,1,10033666
458,Pimpri-Chinchwad,2474,1,1,2005,1,4627371
459,Hinjewadi,3470,1,3,2015,0,7653149
460,Pimpri-Chinchwad,1633,5,1,1992,1,8039171
461,Koregaon Park,1960,5,2,1990,0,2924246
462,Hinjewadi,2034,5,2,2017,1,5964813
463,Kalyani Nagar,1040,5,1,1992,0,2367992
464,Hinjewadi,3034,4,1,2022,1,10014259
465,Hinjewadi,2429,3,2,1989,0,3497481
466,Hinjewadi,3488,2,1,1985,0,12973496
467,Hinjewadi,1799,3,2,2007,0,3008105
468,Pimpri-Chinchwad,2346,1,3,2013,1,6079861
469,Koregaon Park,2543,4,3,2013,1,2821047
470,Viman Nagar,2364,5,1,1989,1,9440912
471,Hinjewadi,2838,5,3,1981,1,13395624
472,Kalyani Nagar,2950,2,1,2007,0,4885752
473,Hinjewadi,3013,4,3,2008,0,11438342
474,Kalyani Nagar,803,4,2,2023,1,12735459
475,Pimpri-Chinchwad,1051,3,2,2004,0,4687768
476,Kalyani Nagar,1271,1,2,2022,1,8283275
477,Viman Nagar,3346,3,2,1996,1,3105451
478,Koregaon Park,3113,4,2,2007,1,10849098
479,Kalyani Nagar,2059,1,3,2007,1,8439168
480,Kalyani Nagar,2773,1,2,1991,0,9089614
481,Koregaon Park,2451,4,1,2000,1,6105247
482,Viman Nagar,2376,1,3,2023,1,5682861
483,Hinjewadi,2007,2,1,2019,1,8319734
484,Kalyani Nagar,2355,5,2,2015,1,8352519
485,Koregaon Park,2597,5,2,1984,1,3025189
486,Pimpri-Chinchwad,2165,5,1,2008,0,12185358
487,Koregaon Park,2589,1,3,2022,1,7753715
488,Pimpri-Chinchwad,2863,3,2,1995,0,5920330
489,Viman Nagar,1583,1,2,1991,1,11941058
490,Hinjewadi,1718,5,1,1990,1,10998275
491,Koregaon Park,1595,3,3,2017,0,13467748
492,Kalyani Nagar,1417,4,2,1988,1,13638305
493,Viman Nagar,2503,1,2,1992,0,7284168
494,Koregaon Park,3444,1,2,1982,1,5674690
495,Kalyani Nagar,1186,4,3,2011,0,4676604
496,Koregaon Park,1703,4,3,1999,1,11522010
497,Pimpri-Chinchwad,2246,5,2,1994,1,7936874
498,Koregaon Park,2043,5,3,2013,0,11412040
499,Koregaon Park,2107,5,1,2020,0,12730690
500,Koregaon Park,1724,4,3,1982,0,13977976
501,Viman Nagar,2826,4,2,2015,0,9180418
502,Koregaon Park,1136,4,3,2015,1,11338606
503,Kalyani Nagar,1901,2,3,1991,1,7854528
504,Pimpri-Chinchwad,3011,3,3,1986,0,13690530
505,Pimpri-Chinchwad,1024,5,3,2021,1,5060273
506,Koregaon Park,836,2,3,2011,0,5513278
507,Viman Nagar,1585,1,1,1982,1,7015094
508,Viman Nagar,3304,2,2,2007,0,3406524
509,Kalyani Nagar,2020,3,1,2023,0,7709793
510,Koregaon Park,875,5,1,2021,1,3749548
511,Pimpri-Chinchwad,1560,3,3,1983,0,8171471
